# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  8.260789e-02    6.648994e+01   1.775133e+00
  8.314980e-02    6.631078e+01   1.753411e+00
  8.369170e-02    6.595676e+01   1.767701e+00
  8.423360e-02    6.502821e+01   1.789001e+00
  8.477550e-02    6.428625e+01   1.735163e+00
  8.531740e-02    6.402144e+01   1.688913e+00
  8.585931e-02    6.387548e+01   1.685861e+00
  8.640121e-02    6.354322e+01   1.708997e+00
  8.694311e-02    6.340406e+01   1.681289e+00
  8.748501e-02    6.326235e+01   1.645204e+00
  8.802691e-02    6.275772e+01   1.667176e+00
  8.856881e-02    6.265385e+01   1.635462e+00
  8.911072e-02    6.291064e+01   1.565294e+00
  8.965262e-02    6.276345e+01   1.586737e+00
  9.019452e-02    6.221513e+01   1.531592e+00
  9.073642e-02    6.190543e+01   1.528456e+00
  9.127832e-02    6.161432e+01   1.572159e+00
  9.182023e-02    6.140240e+01   1.562507e+00
  9.236213e-02    6.098330e+01   1.566417e+00
  9.290403e-02    6.059970e+01   1.542351e+00
  9.344593e-02    6.029416e+01   1.516080e+00
  9.398783e-02    5.989621e+01   1.499953e+00
  9.452973e-02    5.933974e+01   1.505137e+00
  9.507164e-02    5.928584e+01   1.501026e+00
  9.561354e-02    5.902467e+01   1.407123e+00
  9.615544e-02    5.884558e+01   1.406546e+00
  9.669734e-02    5.879614e+01   1.432742e+00
  9.723924e-02    5.848132e+01   1.455201e+00
  9.778115e-02    5.839972e+01   1.428220e+00
  9.832305e-02    5.817038e+01   1.401693e+00
  9.886495e-02    5.826447e+01   1.418193e+00
  9.940685e-02    5.813157e+01   1.448998e+00
  9.994875e-02    5.803453e+01   1.450079e+00
  1.004907e-01    5.730350e+01   1.445159e+00
  1.010326e-01    5.745891e+01   1.456419e+00
  1.015745e-01    5.719603e+01   1.447868e+00
  1.021164e-01    5.678370e+01   1.446044e+00
  1.026583e-01    5.666455e+01   1.445388e+00
  1.032002e-01    5.630797e+01   1.424852e+00
  1.037421e-01    5.601799e+01   1.416951e+00
  1.042840e-01    5.597557e+01   1.418452e+00
  1.048259e-01    5.644173e+01   1.450632e+00
  1.053678e-01    5.612575e+01   1.435727e+00
  1.059097e-01    5.576830e+01   1.379645e+00
  1.064516e-01    5.518698e+01   1.414480e+00
  1.069935e-01    5.496805e+01   1.389956e+00
  1.075354e-01    5.465098e+01   1.341215e+00
  1.080773e-01    5.421212e+01   1.319247e+00
  1.086192e-01    5.392010e+01   1.296489e+00
  1.091611e-01    5.368938e+01   1.292383e+00
  1.097030e-01    5.372057e+01   1.315689e+00
  1.102449e-01    5.397137e+01   1.327465e+00
  1.107868e-01    5.399152e+01   1.323209e+00
  1.113287e-01    5.420382e+01   1.359126e+00
  1.118706e-01    5.446640e+01   1.346612e+00
  1.124125e-01    5.473488e+01   1.332450e+00
  1.129544e-01    5.482401e+01   1.382594e+00
  1.134963e-01    5.479435e+01   1.351251e+00
  1.140382e-01    5.464538e+01   1.354885e+00
  1.145801e-01    5.437029e+01   1.376555e+00
  1.151220e-01    5.407132e+01   1.371846e+00
  1.156639e-01    5.374654e+01   1.329876e+00
  1.162058e-01    5.391652e+01   1.319435e+00
  1.167477e-01    5.386293e+01   1.291210e+00
  1.172896e-01    5.398821e+01   1.288955e+00
  1.178315e-01    5.396870e+01   1.283747e+00
  1.183734e-01    5.372478e+01   1.256753e+00
  1.189153e-01    5.379586e+01   1.237580e+00
  1.194572e-01    5.397698e+01   1.232694e+00
  1.199991e-01    5.346241e+01   1.185265e+00
  1.205410e-01    5.301055e+01   1.187109e+00
  1.210829e-01    5.308088e+01   1.215556e+00
  1.216248e-01    5.300270e+01   1.239309e+00
  1.221667e-01    5.300110e+01   1.250972e+00
  1.227086e-01    5.297571e+01   1.257912e+00
  1.232505e-01    5.275162e+01   1.229968e+00
  1.237924e-01    5.300543e+01   1.267971e+00
  1.243343e-01    5.279042e+01   1.286272e+00
  1.248762e-01    5.240764e+01   1.267314e+00
  1.254181e-01    5.244357e+01   1.238916e+00
  1.259600e-01    5.225228e+01   1.212083e+00
  1.265019e-01    5.229488e+01   1.191183e+00
  1.270438e-01    5.223971e+01   1.194278e+00
  1.275857e-01    5.194912e+01   1.190732e+00
  1.281276e-01    5.188422e+01   1.172765e+00
  1.286695e-01    5.172126e+01   1.141836e+00
  1.292115e-01    5.155045e+01   1.125321e+00
  1.297534e-01    5.141064e+01   1.152593e+00
  1.302953e-01    5.119583e+01   1.192717e+00
  1.308372e-01    5.136206e+01   1.200991e+00
  1.313791e-01    5.119314e+01   1.164304e+00
  1.319210e-01    5.120864e+01   1.157829e+00
  1.324629e-01    5.121091e+01   1.164745e+00
  1.330048e-01    5.097963e+01   1.163544e+00
  1.335467e-01    5.085870e+01   1.143872e+00
  1.340886e-01    5.081841e+01   1.115826e+00
  1.346305e-01    5.099290e+01   1.097111e+00
  1.351724e-01    5.095416e+01   1.103702e+00
  1.357143e-01    5.103867e+01   1.085452e+00
  1.362562e-01    5.112343e+01   1.106674e+00
  1.367981e-01    5.087543e+01   1.112372e+00
  1.373400e-01    5.086796e+01   1.144362e+00
  1.378819e-01    5.058375e+01   1.167929e+00
  1.384238e-01    5.037314e+01   1.161886e+00
  1.389657e-01    5.023918e+01   1.139934e+00
  1.395076e-01    5.024693e+01   1.110526e+00
  1.400495e-01    5.030682e+01   1.151070e+00
  1.405914e-01    5.005120e+01   1.143767e+00
  1.411333e-01    4.991024e+01   1.109757e+00
  1.416752e-01    5.003181e+01   1.090613e+00
  1.422171e-01    4.969934e+01   1.093749e+00
  1.427590e-01    4.961449e+01   1.118819e+00
  1.433009e-01    4.960006e+01   1.128904e+00
  1.438428e-01    4.942363e+01   1.112512e+00
  1.443847e-01    4.952571e+01   1.104002e+00
  1.449266e-01    4.945139e+01   1.109841e+00
  1.454685e-01    4.946151e+01   1.121662e+00
  1.460104e-01    4.946276e+01   1.116654e+00
  1.465523e-01    4.963963e+01   1.115652e+00
  1.470942e-01    4.954124e+01   1.100717e+00
  1.476361e-01    4.965036e+01   1.107972e+00
  1.481780e-01    4.975230e+01   1.098606e+00
  1.487199e-01    4.975729e+01   1.098719e+00
  1.492618e-01    4.992451e+01   1.116399e+00
  1.498037e-01    5.004027e+01   1.113067e+00
  1.503456e-01    5.000781e+01   1.115242e+00
  1.508875e-01    5.006464e+01   1.104216e+00
  1.514294e-01    5.005251e+01   1.103841e+00
  1.519713e-01    4.991118e+01   1.070867e+00
  1.525132e-01    5.022101e+01   1.081522e+00
  1.530551e-01    5.013197e+01   1.071076e+00
  1.535970e-01    4.994926e+01   1.094633e+00
  1.541389e-01    4.973842e+01   1.101496e+00
  1.546808e-01    4.936366e+01   1.111427e+00
  1.552227e-01    4.929145e+01   1.142559e+00
  1.557646e-01    4.918751e+01   1.162332e+00
  1.563065e-01    4.913406e+01   1.181155e+00
  1.568484e-01    4.905394e+01   1.153203e+00
